"Events","phoneNumber"
"[{""EventType"":""Ported"",""LastChangedDate"":""2020-01-11T21:56:23Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-02-01T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-12-12T23:59:59Z""}]","61011141111"
"","61011141151"
"[{""EventType"":""Ported"",""LastChangedDate"":""2014-10-17T03:25:02Z""}]","61011141411"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-04-14T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-04-14T23:59:59Z""}]","61011141614"
"[{""EventType"":""Ported"",""LastChangedDate"":""2009-03-23T23:07:11Z""}]","61011143661"
"","61011161113"
"","61011164514"
"[{""EventType"":""Ported"",""LastChangedDate"":""2015-04-23T21:34:04Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-01-30T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-01-30T23:59:59Z""}]","61011166614"
"[{""EventType"":""Ported"",""LastChangedDate"":""2016-11-02T21:35:03Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-01-29T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-01-29T23:59:59Z""}]","61011316614"
"","61011411110"
"[{""EventType"":""Ported"",""LastChangedDate"":""2016-07-27T16:38:31Z""}]","61011444461"
"[{""EventType"":""MSISDNChange"",""LastChangedDate"":""2019-09-11T08:49:00Z""},{""EventType"":""Ported"",""LastChangedDate"":""2020-02-12T02:11:59Z""}]","61011510166"
"[{""EventType"":""Ported"",""LastChangedDate"":""2013-08-08T16:12:09Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-04-09T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-04-09T23:59:59Z""}]","61011514163"
"","61011641114"
"[{""EventType"":""Ported"",""LastChangedDate"":""2008-08-22T22:26:08Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-11-18T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-11-18T23:59:59Z""}]","61011654156"
"","61013115411"
"","61013115411"
"","61013115411"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-04-09T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-04-09T23:59:59Z""}]","61014010104"
"","61014044434"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-06-13T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-05-07T23:59:59Z""}]","61014051613"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-02-06T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2019-07-04T23:59:59Z""}]","61014131140"
"","61014146141"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-01-17T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-01-17T23:59:59Z""}]","61014311166"
"[{""EventType"":""Ported"",""LastChangedDate"":""2008-02-25T21:51:25Z""}]","61014354064"
"","61014401446"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-03-17T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-03-17T23:59:59Z""}]","61014441346"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-04-01T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-02-15T23:59:59Z""}]","61014441361"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-04-11T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-04-11T23:59:59Z""}]","61014453146"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-03-10T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-03-10T23:59:59Z""}]","61014614141"
"[{""EventType"":""Ported"",""LastChangedDate"":""2009-09-27T21:54:23Z""}]","61015011566"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-11-14T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2019-12-15T23:59:59Z""}]","61015434666"
"[{""EventType"":""Ported"",""LastChangedDate"":""2020-11-15T01:02:01Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-11-17T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-11-15T01:02:01Z""}]","61015436514"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-04-03T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-04-03T23:59:59Z""}]","61015511401"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-02-27T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-02-27T23:59:59Z""}]","61016361143"
"[{""EventType"":""Ported"",""LastChangedDate"":""2019-08-29T21:06:27Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-01-21T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2019-08-29T21:06:27Z""}]","61016606101"
"[{""EventType"":""Ported"",""LastChangedDate"":""2010-07-15T21:26:08Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-01-01T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-01-01T23:59:59Z""}]","61016616461"
"","61031361634"
"[{""EventType"":""Ported"",""LastChangedDate"":""2018-08-11T15:49:39Z""}]","61031616115"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2019-12-14T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2019-12-14T23:59:59Z""}]","61034140444"
"[{""EventType"":""Ported"",""LastChangedDate"":""2020-11-01T15:14:00Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-11-01T15:14:00Z""}]","61034434416"
"[{""EventType"":""Ported"",""LastChangedDate"":""2010-08-19T14:42:06Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-01-17T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-01-17T23:59:59Z""}]","61035500166"
"","61041010464"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-01-01T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-01-01T23:59:59Z""}]","61041011116"
"[{""EventType"":""Ported"",""LastChangedDate"":""2010-12-18T18:45:40Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-06-07T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-06-06T23:59:59Z""}]","61041056636"
"[{""EventType"":""Ported"",""LastChangedDate"":""2010-12-18T18:45:40Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-06-07T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-06-06T23:59:59Z""}]","61041056636"
"","61041111466"
"","61041114113"
"[{""EventType"":""Ported"",""LastChangedDate"":""2017-12-23T21:26:41Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-05-08T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-05-08T23:59:59Z""}]","61041114113"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-03-10T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-03-10T23:59:59Z""}]","61041141461"
"[{""EventType"":""Ported"",""LastChangedDate"":""2015-01-18T18:45:09Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-02-14T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-02-14T23:59:59Z""}]","61041161015"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-03-23T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-03-23T23:59:59Z""}]","61041161415"
"","61041164611"
"","61041361111"
"[{""EventType"":""Ported"",""LastChangedDate"":""2020-12-19T18:25:01Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-03-30T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-12-19T18:25:01Z""}]","61041361111"
"[{""EventType"":""Ported"",""LastChangedDate"":""2017-12-26T19:40:40Z""}]","61041361140"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-01-10T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-01-10T23:59:59Z""}]","61041414416"
"[{""EventType"":""Ported"",""LastChangedDate"":""2020-02-25T15:52:01Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-02-25T15:52:01Z""}]","61041611511"
"[{""EventType"":""MSISDNChange"",""LastChangedDate"":""2017-08-29T04:49:00Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2019-04-03T22:28:53Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2019-04-03T22:28:53Z""}]","61041611644"
"","61041646146"
"[{""EventType"":""Ported"",""LastChangedDate"":""2009-08-28T18:55:03Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2018-09-01T22:00:25Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2018-09-01T22:00:25Z""}]","61043110451"
"[{""EventType"":""Ported"",""LastChangedDate"":""2015-07-06T19:25:08Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-03-15T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-03-15T23:59:59Z""}]","61043111411"
"","61043113661"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-04-01T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-04-01T23:59:59Z""}]","61043146111"
"","61043346661"
"[{""EventType"":""Ported"",""LastChangedDate"":""2020-01-20T21:28:24Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-01-25T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-01-25T23:59:59Z""}]","61043414351"
"[{""EventType"":""Ported"",""LastChangedDate"":""2020-01-20T21:28:24Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-01-25T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-01-25T23:59:59Z""}]","61043414351"
"[{""EventType"":""Ported"",""LastChangedDate"":""2020-01-20T21:28:24Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-01-25T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-01-25T23:59:59Z""}]","61043414351"
"[{""EventType"":""Ported"",""LastChangedDate"":""2020-01-20T21:28:24Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-01-25T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-01-25T23:59:59Z""}]","61043414351"
"[{""EventType"":""Ported"",""LastChangedDate"":""2020-01-20T21:28:24Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-01-25T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-01-25T23:59:59Z""}]","61043414351"
"","61043506441"
"[{""EventType"":""Ported"",""LastChangedDate"":""2018-03-31T21:12:58Z""}]","61043514106"
"","61044146114"
"","61044146400"
"[{""EventType"":""Ported"",""LastChangedDate"":""2019-09-20T21:54:12Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-01-22T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2019-09-20T21:54:12Z""}]","61044400141"
"[{""EventType"":""Ported"",""LastChangedDate"":""2019-05-04T02:17:13Z""}]","61044660154"
"","61045631356"
"","61046366354"
"[{""EventType"":""Ported"",""LastChangedDate"":""2018-11-22T00:08:32Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-02-03T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-02-03T23:59:59Z""}]","61046605535"
"[{""EventType"":""Ported"",""LastChangedDate"":""2017-12-31T18:44:41Z""}]","61051104441"
"","61061011146"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-01-09T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-01-09T23:59:59Z""}]","61061100416"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-03-17T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-03-17T23:59:59Z""}]","61061164044"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-01-13T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-01-13T23:59:59Z""}]","61061410436"
"[{""EventType"":""Ported"",""LastChangedDate"":""2009-12-19T16:56:04Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-10-27T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-10-27T23:59:59Z""}]","61061413313"
"[{""EventType"":""Ported"",""LastChangedDate"":""2014-04-03T14:17:42Z""}]","61061500610"
"[{""EventType"":""Ported"",""LastChangedDate"":""2014-04-03T14:17:42Z""}]","61061500610"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-02-16T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-02-16T23:59:59Z""}]","61061611154"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-09-29T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2019-12-12T23:59:59Z""}]","61061631054"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-09-29T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2019-12-12T23:59:59Z""}]","61061631054"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-04-24T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-04-24T23:59:59Z""}]","61063505316"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-12-29T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-12-29T23:59:59Z""}]","61063613116"
"","61064061511"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-03-13T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-03-13T23:59:59Z""}]","61064104361"
"[{""EventType"":""Ported"",""LastChangedDate"":""2019-09-25T17:00:13Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-02-09T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2019-12-26T23:59:59Z""}]","61064411144"
"[{""EventType"":""Ported"",""LastChangedDate"":""2015-05-15T00:49:30Z""}]","61064441143"
"[{""EventType"":""Ported"",""LastChangedDate"":""2015-05-15T00:49:30Z""}]","61064441143"
"[{""EventType"":""Ported"",""LastChangedDate"":""2015-05-15T00:49:30Z""}]","61064441143"
"[{""EventType"":""Ported"",""LastChangedDate"":""2013-07-01T16:24:18Z""}]","61064461434"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-12-31T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-12-31T23:59:59Z""}]","61065044155"
"[{""EventType"":""Ported"",""LastChangedDate"":""2017-06-14T18:48:58Z""}]","61065046614"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-04-11T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-04-11T23:59:59Z""}]","61065165365"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-10-06T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-10-06T23:59:59Z""}]","61065400464"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2019-03-31T21:18:12Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2019-03-31T21:18:12Z""}]","61066101451"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-04-04T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-04-04T23:59:59Z""}]","61066153531"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-06-15T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-06-15T23:59:59Z""}]","61101104616"
"[{""EventType"":""MSISDNChange"",""LastChangedDate"":""2013-02-16T14:06:00Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-12-06T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-12-06T23:59:59Z""}]","61101551141"
"[{""EventType"":""Ported"",""LastChangedDate"":""2014-01-17T01:00:35Z""}]","61101614444"
"[{""EventType"":""Ported"",""LastChangedDate"":""2020-12-11T20:45:01Z""}]","61103014663"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-04-23T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-04-23T23:59:59Z""}]","61103110311"
"[{""EventType"":""Ported"",""LastChangedDate"":""2021-04-11T23:21:15Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-04-12T00:00:00Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-04-11T23:21:15Z""}]","61103136166"
"[{""EventType"":""MSISDNChange"",""LastChangedDate"":""2019-11-14T22:00:00Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-04-08T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-04-08T23:59:59Z""}]","61103314461"
"[{""EventType"":""Ported"",""LastChangedDate"":""2013-01-11T02:32:08Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-04-04T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-04-04T23:59:59Z""}]","61104143541"
"","61104354460"
"[{""EventType"":""Ported"",""LastChangedDate"":""2010-09-23T15:42:00Z""}]","61104466436"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-12-18T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-12-18T23:59:59Z""}]","61105516434"
"[{""EventType"":""Ported"",""LastChangedDate"":""2020-12-27T15:29:01Z""}]","61111114636"
"[{""EventType"":""Ported"",""LastChangedDate"":""2020-02-22T22:08:00Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-09-06T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-04-18T23:59:59Z""}]","61111415660"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2019-12-03T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2019-12-03T23:59:59Z""}]","61111441411"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2018-12-23T01:11:54Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2018-12-23T01:11:54Z""}]","61111641610"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-12-29T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-12-29T23:59:59Z""}]","61111646661"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-02-17T09:24:02Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-05-04T23:59:59Z""}]","61111656611"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-08-08T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-08-08T23:59:59Z""}]","61113011051"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-08-08T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-08-08T23:59:59Z""}]","61113011051"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-08-08T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-08-08T23:59:59Z""}]","61113011051"
"","61113144104"
"","61113144104"
"","61113144104"
"","61113144610"
"[{""EventType"":""Ported"",""LastChangedDate"":""2017-09-20T13:51:33Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-02-09T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-02-09T23:59:59Z""}]","61113630105"
"","61114161164"
"","61114166113"
"[{""EventType"":""Ported"",""LastChangedDate"":""2013-10-03T15:41:07Z""}]","61114344564"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-02-08T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-02-08T23:59:59Z""}]","61114415616"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-04-18T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-04-18T23:59:59Z""}]","61114415616"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-01-21T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-01-21T23:59:59Z""}]","61114466004"
"[{""EventType"":""Ported"",""LastChangedDate"":""2015-11-27T20:44:58Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-03-16T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-03-16T23:59:59Z""}]","61114511161"
"[{""EventType"":""Ported"",""LastChangedDate"":""2014-02-12T15:33:05Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-11-16T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-11-16T23:59:59Z""}]","61114603444"
"[{""EventType"":""Ported"",""LastChangedDate"":""2011-04-20T21:38:23Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-11-18T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-11-18T23:59:59Z""}]","61114664016"
"[{""EventType"":""Ported"",""LastChangedDate"":""2018-10-15T17:17:12Z""}]","61115046514"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-03-15T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-03-15T23:59:59Z""}]","61115630146"
"[{""EventType"":""Ported"",""LastChangedDate"":""2014-03-20T18:25:03Z""}]","61116151104"
"[{""EventType"":""Ported"",""LastChangedDate"":""2020-07-31T16:15:00Z""}]","61116446143"
"","61131061614"
"","61131111114"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-02-16T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-02-16T23:59:59Z""}]","61131111136"
"[{""EventType"":""Ported"",""LastChangedDate"":""2016-06-02T22:44:34Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-05-15T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-04-17T23:59:59Z""}]","61131116664"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-03-20T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-03-20T23:59:59Z""}]","61131141114"
"[{""EventType"":""Ported"",""LastChangedDate"":""2018-08-12T01:57:39Z""}]","61131141460"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-08-20T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-08-20T23:59:59Z""}]","61131161611"
"","61131166461"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-01-11T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-01-11T23:59:59Z""}]","61131410545"
"[{""EventType"":""Ported"",""LastChangedDate"":""2016-04-11T18:09:22Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-02-15T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-04-21T23:59:59Z""}]","61131411111"
"","61131510311"
"[{""EventType"":""Ported"",""LastChangedDate"":""2017-12-30T15:22:41Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-12-27T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-05-03T23:59:59Z""}]","61131631616"
"[{""EventType"":""Ported"",""LastChangedDate"":""2015-06-12T18:44:23Z""}]","61131645411"
"[{""EventType"":""Ported"",""LastChangedDate"":""2020-11-25T01:17:00Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-11-24T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-11-25T01:17:00Z""}]","61131666340"
"[{""EventType"":""Ported"",""LastChangedDate"":""2020-05-07T16:54:45Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-05-08T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-05-07T16:54:45Z""}]","61133046656"
"","61134141643"
"","61134144131"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-03-21T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-03-21T23:59:59Z""}]","61134341160"
"[{""EventType"":""Ported"",""LastChangedDate"":""2020-06-17T00:30:45Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-11-14T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-06-17T00:30:45Z""}]","61134413111"
"","61134414151"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2019-08-23T15:31:29Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2019-08-23T15:31:29Z""}]","61134516455"
"[{""EventType"":""Ported"",""LastChangedDate"":""2008-02-29T16:45:46Z""}]","61134614411"
"[{""EventType"":""Ported"",""LastChangedDate"":""2021-05-01T17:51:01Z""},{""EventType"":""DeviceChange"",""LastChangedDate"":""2021-05-01T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2021-04-29T23:59:59Z""}]","61135634646"
"[{""EventType"":""Ported"",""LastChangedDate"":""2018-11-28T00:00:32Z""}]","61136151351"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-11-15T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2019-12-16T23:59:59Z""}]","61136343441"
"[{""EventType"":""DeviceChange"",""LastChangedDate"":""2020-03-01T23:59:59Z""},{""EventType"":""SIMSwap"",""LastChangedDate"":""2020-03-01T23:59:59Z""}]","61136564433"
